task,feature_set,model_name,cv_splits,imbalance_strategy,cv_best_auprc,validation_threshold,selected_feature_count,val_precision,val_recall,val_f1,val_auroc,val_auprc,test_precision,test_recall,test_f1,test_auroc,test_auprc,val_tp,val_fp,val_tn,val_fn,test_tp,test_fp,test_tn,test_fn,best_params_json,source
fatality,county_enriched,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.3049162262632674,0.17225483291540017,44,0.42023346303501946,0.46153846153846156,0.439918533604888,0.8953497874767328,0.35183265521661455,0.3948497854077253,0.39316239316239315,0.39400428265524623,0.8610289534152823,0.2794300488792192,108,149,9682,126,92,141,9690,142,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",new_comprehensive_run
fatality,county_selected,logistic_regression,3,class_weight=balanced,0.427542041447214,0.9582394052891304,20,0.5755813953488372,0.4230769230769231,0.4876847290640394,0.9301398767373744,0.4439598212939361,0.5276073619631901,0.3675213675213675,0.4332493702770781,0.9261958726407918,0.3776538026905389,99,73,9758,135,86,77,9754,148,"{""classifier__C"": 0.05}",existing_final_run
fatality,county_selected,random_forest,3,class_weight=balanced_subsample,0.4165772303391225,0.541918375664059,20,0.4696969696969697,0.5299145299145299,0.4979919678714859,0.921350090025708,0.4541888998472526,0.4214876033057851,0.4358974358974359,0.4285714285714285,0.9106015595182516,0.3565615856568963,124,140,9691,110,102,140,9691,132,"{""classifier__max_depth"": 20, ""classifier__max_features"": 0.5, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 500}",existing_final_run
fatality,county_selected,xgboost,3,scale_pos_weight=42.0486,0.4315158350600474,0.9301664233207704,20,0.5450236966824644,0.4914529914529914,0.5168539325842697,0.9304835045604042,0.4721653727011847,0.5023474178403756,0.4572649572649572,0.4787472035794183,0.9233627362251104,0.4040377600185457,115,96,9735,119,107,106,9725,127,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",existing_final_run
fatality,county_selected,svm,3,class_weight=balanced; linear_svm_for_tractability,0.4288974520595396,0.899759090243666,20,0.4830508474576271,0.4871794871794871,0.4851063829787234,0.9303089737938686,0.4479443814265052,0.4439461883408072,0.4230769230769231,0.4332603938730853,0.9256285933124504,0.3863414243201667,114,122,9709,120,99,124,9707,135,"{""classifier__C"": 0.01}",existing_final_run
fatality,county_selected,neural_network,3,balanced_sample_weight,0.429016247901629,0.912443124665014,20,0.5173913043478261,0.5085470085470085,0.5129310344827587,0.9304989362969224,0.4385198742394496,0.4657534246575342,0.4358974358974359,0.4503311258278146,0.9220697305836152,0.3670062289761233,119,111,9720,115,102,117,9714,132,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",existing_final_run
fatality,county_selected,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.3395815765577265,0.2029796163166249,20,0.4634146341463415,0.4871794871794871,0.475,0.8845184472282427,0.3691886114702677,0.4311111111111111,0.4145299145299145,0.4226579520697168,0.8729898533072168,0.2977535765040028,114,132,9699,120,97,128,9703,137,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",existing_final_run
injury,tornado_only,logistic_regression,3,class_weight=balanced,0.5123877031429943,0.7567906550912771,18,0.4805598755832037,0.5359930615784909,0.5067650676506765,0.8612899122731894,0.5190564451908095,0.4847537138389367,0.5377276669557676,0.5098684210526315,0.8661282486869785,0.5279213797117758,618,668,8244,535,620,659,8253,533,"{""classifier__C"": 1.0}",existing_final_run
injury,tornado_only,random_forest,3,class_weight=balanced_subsample,0.5077871508272627,0.6532390527858477,18,0.4597544338335607,0.5845620121422377,0.5147002672775869,0.8577788545531835,0.5077505596705365,0.4497245179063361,0.5663486556808326,0.5013435700575816,0.8645092090573183,0.5219893473101896,674,792,8120,479,653,799,8113,500,"{""classifier__max_depth"": 12, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 300}",new_comprehensive_run
injury,tornado_only,xgboost,3,scale_pos_weight=7.7297,0.520453901075901,0.707279622554779,18,0.45054945054945056,0.6045099739809193,0.5162962962962963,0.8645165079466415,0.5260427089074596,0.4480731548007838,0.5949696444058976,0.511177347242921,0.8680478565789658,0.5316271776182433,697,850,8062,456,686,845,8067,467,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",new_comprehensive_run
injury,tornado_only,svm,3,class_weight=balanced; linear_svm_for_tractability,0.5120466002990213,0.4410454221214215,18,0.5097001763668431,0.5013009540329575,0.5054656755574989,0.8610556665851786,0.5184559899233764,0.5067024128686327,0.49176062445793584,0.49911971830985913,0.8659898617454117,0.5279785135127824,578,556,8356,575,567,552,8360,586,"{""classifier__C"": 0.01}",new_comprehensive_run
injury,tornado_only,neural_network,3,balanced_sample_weight,0.5183695033689011,0.7372218314625382,18,0.471976401179941,0.5550737207285342,0.5101634117178159,0.8634447390384306,0.5248568093376107,0.47512991833704527,0.5550737207285342,0.512,0.8680231863330536,0.5347365015499473,640,716,8196,513,640,707,8205,513,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [64], ""classifier__learning_rate_init"": 0.001}",new_comprehensive_run
injury,tornado_only,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.37241134872546855,0.2558268276566706,18,0.4055269922879177,0.5472679965307893,0.4658545588778147,0.8000734949495578,0.38317610044996503,0.4038961038961039,0.5394622723330442,0.46193835870776084,0.7964704225648179,0.3826736259797958,631,925,7987,522,622,918,7994,531,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",new_comprehensive_run
injury,county_enriched,logistic_regression,3,class_weight=balanced,0.5181639036741911,0.7421222795000165,44,0.4748520710059171,0.5568083261058109,0.5125748502994012,0.8662131104401757,0.5255747625727011,0.4723467862481315,0.5481352992194276,0.5074267362505018,0.8677745861627071,0.532638618256521,642,710,8202,511,632,706,8206,521,"{""classifier__C"": 0.01}",existing_final_run
injury,county_enriched,random_forest,3,class_weight=balanced_subsample,0.5031291340091846,0.5164449323083747,44,0.4738955823293173,0.5117085862966175,0.4920767306088407,0.852953315525341,0.4933360431489937,0.480225988700565,0.5160450997398092,0.4974916387959866,0.8642558402792808,0.5207896384977136,590,655,8257,563,595,644,8268,558,"{""classifier__max_depth"": 20, ""classifier__max_features"": 0.5, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 500}",new_comprehensive_run
injury,county_enriched,xgboost,3,scale_pos_weight=7.7297,0.5350625852855073,0.7122073769569397,44,0.4773049645390071,0.5836947094535994,0.5251658213031604,0.8693614620200835,0.5375616133261821,0.47405828002842926,0.5784908933217693,0.52109375,0.8719135430015524,0.547381654051334,673,737,8175,480,667,740,8172,486,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",new_comprehensive_run
injury,county_enriched,svm,3,class_weight=balanced; linear_svm_for_tractability,0.5156698896079092,0.39744584017165635,44,0.4806671721000758,0.5498699045967043,0.5129449838187702,0.8657491930347965,0.5242130602864314,0.47699386503067487,0.5394622723330442,0.5063085063085063,0.8674982015536709,0.5314019327352123,634,685,8227,519,622,682,8230,531,"{""classifier__C"": 0.01}",new_comprehensive_run
injury,county_enriched,neural_network,3,balanced_sample_weight,0.5226260503782542,0.7951010917089667,44,0.5275519421860885,0.5065047701647876,0.5168141592920354,0.8686412076216753,0.5294206365237613,0.5348623853211009,0.5056374674761491,0.5198395006687472,0.8709317937283272,0.545753146640594,584,523,8389,569,583,507,8405,570,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [64], ""classifier__learning_rate_init"": 0.001}",new_comprehensive_run
injury,county_enriched,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.4258193427381561,0.23750403857451688,44,0.4338292873923258,0.48048568950563747,0.45596707818930043,0.8398477704715354,0.4387023138255161,0.4540229885057471,0.47961838681699914,0.4664698439477014,0.839759356592201,0.45647734420558295,554,723,8189,599,553,665,8247,600,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",new_comprehensive_run
injury,county_selected,logistic_regression,3,class_weight=balanced,0.5187936417116988,0.7583574992631819,20,0.493259318001586,0.5394622723330442,0.5153272576636289,0.8659096712813813,0.5245362150069051,0.4872611464968153,0.5307892454466608,0.5080946450809465,0.8674517806175754,0.5334765449515352,622,639,8273,531,612,644,8268,541,"{""classifier__C"": 1.0}",existing_final_run
injury,county_selected,random_forest,3,class_weight=balanced_subsample,0.516715710396508,0.6376968424209208,20,0.5046102263202011,0.5221162185602776,0.5132139812446718,0.8642768610805316,0.508817486259815,0.4970414201183432,0.5099739809193409,0.5034246575342466,0.8683391309222214,0.526771180272583,602,591,8321,551,588,595,8317,565,"{""classifier__max_depth"": 12, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 300}",existing_final_run
injury,county_selected,xgboost,3,scale_pos_weight=7.7297,0.5354494938109275,0.7080931067466736,20,0.4726264726264726,0.5915004336513443,0.5254237288135594,0.8690829850627743,0.5363400642586525,0.4685121107266436,0.5871639202081527,0.5211701308698999,0.8715177972224515,0.5430668092775046,682,761,8151,471,677,768,8144,476,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",existing_final_run
injury,county_selected,svm,3,class_weight=balanced; linear_svm_for_tractability,0.5172200227705307,0.385064563085045,20,0.4705035971223021,0.5672159583694709,0.5143531262288635,0.8656315349389073,0.5238213702626021,0.4645953757225433,0.5576756287944492,0.5068979109184075,0.8673861879321916,0.5347744153069038,654,736,8176,499,643,741,8171,510,"{""classifier__C"": 0.01}",existing_final_run
injury,county_selected,neural_network,3,balanced_sample_weight,0.5269439246078637,0.7254329931013247,20,0.4765342960288808,0.572419774501301,0.5200945626477541,0.8686202841389491,0.5304578931391436,0.4803558191252779,0.562012142237641,0.5179856115107914,0.8707576908883391,0.5452958742272457,660,725,8187,493,648,701,8211,505,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",existing_final_run
injury,county_selected,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.4265614333834636,0.1896490934666065,20,0.3803617571059431,0.6383347788378144,0.4766839378238341,0.841231639887204,0.4255287658761513,0.3856243441762854,0.6374674761491761,0.4805491990846682,0.84075293006613,0.4499170746395636,736,1199,7713,417,735,1171,7741,418,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",existing_final_run
