task,model_1_id,model_1_experiment_group,model_1_feature_set,model_1_name,model_2_id,model_2_experiment_group,model_2_feature_set,model_2_name,auc_1,auc_2,auc_diff,z,p_value,same_model_name,same_feature_set,same_experiment_group
injury,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,0.8407529300661298,0.8674517806175756,-0.02669885055144572,6.804370218014678,1.0149214801913331e-11,False,True,True
injury,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8407529300661298,0.8673861879321916,-0.026633257866061744,6.781711265649634,1.18760556944153e-11,False,True,True
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|knn,model_suite,county_selected,knn,0.8661282486869785,0.8407529300661298,0.02537531862084863,6.3470372216760635,2.1950108397561507e-10,False,False,False
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,0.8661282486869785,0.870757690888339,-0.004629442201360523,3.5522014009890683,0.00038202233486250847,False,False,False
injury,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,0.8674517806175756,0.870757690888339,-0.0033059102707634347,3.4052237958394156,0.0006610985170456551,False,True,True
injury,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,model_suite|county_selected|svm,model_suite,county_selected,svm,0.870757690888339,0.8673861879321916,0.0033715029561474097,3.2806794889069137,0.0010355735035425528,False,True,True
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8661282486869785,0.8715177972224514,-0.00538954853547291,3.1671958624182017,0.001539166148269322,False,False,False
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,0.8677745861627072,0.870757690888339,-0.002983104725631791,3.005757431888448,0.002649202405347051,False,False,False
injury,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8674517806175756,0.8715177972224514,-0.004066016604875822,2.7275130305336153,0.00638137371421621,False,True,True
injury,model_suite|county_selected|svm,model_suite,county_selected,svm,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8673861879321916,0.8715177972224514,-0.004131609290259797,2.715543848784811,0.0066167013654565565,False,True,True
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8677745861627072,0.8715177972224514,-0.003743211059744178,2.5540894461861554,0.010646590264975275,False,False,False
injury,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8683391309222215,0.8715177972224514,-0.003178666300229893,2.128849184715818,0.033266740116754345,False,True,True
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,0.8677745861627072,0.8661282486869785,0.001646337475728732,1.6194709918089694,0.10534596299735433,True,False,True
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,0.8661282486869785,0.8674517806175756,-0.0013235319305970883,1.4570941978096854,0.14509037980533757,True,False,False
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8661282486869785,0.8673861879321916,-0.0012579392452131133,1.3803938379429816,0.16746541642657675,False,False,False
injury,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.870757690888339,0.8683391309222215,0.002418559966117506,1.2311766707287721,0.21825679478946025,False,True,True
injury,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.8661282486869785,0.8683391309222215,-0.002210882235243017,0.9432213327167218,0.3455677039767697,False,False,False
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8677745861627072,0.8673861879321916,0.0003883982305156186,0.7365372409875591,0.46140381238547734,False,False,False
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,0.8677745861627072,0.8674517806175756,0.0003228055451316436,0.6356612628065376,0.5249972298909693,True,False,False
injury,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.870757690888339,0.8715177972224514,-0.000760106334112387,0.5704864402709234,0.5683478163954954,False,True,True
injury,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8683391309222215,0.8673861879321916,0.0009529429900299036,0.4202969218221805,0.6742685583075128,False,True,True
injury,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.8674517806175756,0.8683391309222215,-0.0008873503046459286,0.39831742211912163,0.6903962197115783,False,True,True
injury,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8674517806175756,0.8673861879321916,6.5592685383975e-05,0.2912071719569612,0.7708928777351418,False,True,True
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.8677745861627072,0.8683391309222215,-0.000564544759514285,0.2561866679415666,0.7978067026445612,False,False,False
